direction,id,type,vitesse,x,y,timestamp
nord,0,Véhicule,0,78,200,2025-05-25 21:04:36
nord,1,Véhicule,0,130,208,2025-05-25 21:04:37
nord,2,Véhicule,0,78,200,2025-05-25 21:04:47
nord,3,Véhicule,0,130,208,2025-05-25 21:04:48
nord,4,Véhicule,0,91,186,2025-05-25 21:04:51
nord,5,Véhicule,0,140,185,2025-05-25 21:04:51
nord,6,Véhicule,0,328,260,2025-05-25 21:04:53
nord,7,Véhicule,0,120,204,2025-05-25 21:04:53
sud,0,Véhicule,0,296,247,2025-05-25 21:04:59
sud,1,Véhicule,0,198,238,2025-05-25 21:05:06
sud,2,Véhicule,0,32,259,2025-05-25 21:05:06
nord,8,Véhicule,0,123,198,2025-05-25 21:05:09
nord,9,Véhicule,0,120,202,2025-05-25 21:05:09
sud,3,Véhicule,0,318,121,2025-05-25 21:05:10
est,0,Véhicule,0,188,228,2025-05-25 21:05:11
est,1,Véhicule,0,102,248,2025-05-25 21:05:11
nord,10,Véhicule,0,85,192,2025-05-25 21:05:11
nord,11,Véhicule,0,82,194,2025-05-25 21:05:12
sud,4,Véhicule,0,60,229,2025-05-25 21:05:12
nord,12,Véhicule,0,55,213,2025-05-25 21:05:14
sud,5,Véhicule,0,199,177,2025-05-25 21:05:14
sud,6,Véhicule,0,48,204,2025-05-25 21:05:14
est,2,Véhicule,0,273,220,2025-05-25 21:05:15
nord,13,Véhicule,0,132,189,2025-05-25 21:05:15
est,3,Véhicule,0,315,221,2025-05-25 21:05:15
nord,14,Véhicule,0,311,253,2025-05-25 21:05:16
nord,15,Véhicule,0,241,237,2025-05-25 21:05:16
nord,16,Véhicule,0,132,189,2025-05-25 21:05:16
est,4,Véhicule,0,122,171,2025-05-25 21:05:16
nord,17,Véhicule,0,311,253,2025-05-25 21:05:17
nord,18,Véhicule,0,241,237,2025-05-25 21:05:17
sud,7,Véhicule,0,33,265,2025-05-25 21:05:17
est,5,Véhicule,0,288,214,2025-05-25 21:05:18
nord,19,Véhicule,0,311,253,2025-05-25 21:05:19
nord,20,Véhicule,0,241,237,2025-05-25 21:05:19
est,6,Véhicule,0,222,161,2025-05-25 21:05:19
est,7,Véhicule,0,159,144,2025-05-25 21:05:19
nord,21,Véhicule,0,266,239,2025-05-25 21:05:20
nord,22,Véhicule,0,101,179,2025-05-25 21:05:23
